Stock,Jesse_Score,Rank,Predicted_Change_Percent
SPAQ,0.9998,1,-1.14
WPRT,0.9998,2,8.02
ORR,0.9997,3,9.46
OMEX,0.9996,4,9.57
HFSP,0.9994,5,12.93
ILMN,0.9994,6,2.78
CBLL,0.9991,7,11.53
USXF,0.9991,8,2.06
IBG,0.9989,9,-0.19
DRMA,0.9988,10,14.47
AUUD,0.9987,11,-1.87
RBKB,0.9987,12,11.38
FGMC,0.9985,13,2.28
BEEZ,0.9983,14,0.96
CTAS,0.9983,15,1.51
EURKR,0.9982,16,-3.21
GTLB,0.9982,17,8.43
UNTY,0.9982,18,8.05
COPJ,0.9979,19,6.62
BTM,0.9978,20,8.97
VTC,0.9977,21,13.8
MODD,0.9976,22,2.83
CLST,0.9974,23,8.07
BTCT,0.9973,24,-0.1
ALFUW,0.997,25,9.16
RNRG,0.997,26,3.84
ADTN,0.9969,27,9.52
FTGC,0.9966,28,0.11
PPC,0.9964,29,14.81
SBUX,0.9961,30,-3.51
INTS,0.9959,31,-2.4
NAMS,0.9957,32,-0.23
SLP,0.9957,33,3.25
JJSF,0.9956,34,0.58
DOMO,0.9954,35,-3.53
CDIO,0.9952,36,14.98
BNAIW,0.9951,37,0.61
BUJAR,0.9948,38,2.5
MPAA,0.9947,39,0.04
PTH,0.9946,40,-2.36
REBN,0.9945,41,1.35
FTHM,0.9939,42,-3.92
LKQ,0.9939,43,10.61
CIVB,0.9937,44,6.23
BOLD,0.9936,45,7.08
RVPH,0.9935,46,-1.45
FTC,0.9932,47,8.21
PRFZ,0.9932,48,-1.11
AAPL,0.9931,49,-2.98
AMTX,0.9931,50,3.91
GBFH,0.993,51,12.4
IHRT,0.993,52,6.13
INO,0.993,53,12.2
GLDI,0.9928,54,3.41
MDLZ,0.9927,55,13.23
BLDP,0.9925,56,3.89
TENB,0.9925,57,2.56
IBOC,0.9923,58,-3.11
NDRA,0.9921,59,-3.82
CLMT,0.992,60,14.16
DATS,0.9919,61,-4.69
KRT,0.9919,62,6.85
LECO,0.9919,63,2.61
GSIW,0.9918,64,1.81
NOEMW,0.9916,65,-2.27
BLDE,0.9915,66,-4.82
CHGX,0.9915,67,8.14
ATRO,0.9914,68,-1.53
KBWB,0.9912,69,13.14
HMR,0.9911,70,1.72
SNDK,0.9909,71,3.46
FFBC,0.9908,72,5.28
NVNO,0.9908,73,1.73
FWRG,0.9907,74,4.02
MRCY,0.9907,75,5.94
BTGD,0.9906,76,7.01
FRGT,0.9906,77,5.6
INVE,0.9905,78,0.59
WBTN,0.9905,79,-2.92
BKIV,0.9904,80,1.87
LSBK,0.9904,81,8.7
BSCP,0.9901,82,6.61
VONE,0.9899,83,9.14
QRMI,0.9898,84,7.88
KVAC,0.9897,85,6.75
LPAAW,0.9897,86,-3.89
CLOV,0.9896,87,14.46
ABTS,0.9895,88,9.13
GTR,0.9895,89,14.56
TLPH,0.9893,90,-0.04
APLD,0.9886,91,9.48
LLYVK,0.9886,92,-0.4
VERV,0.9885,93,5.72
ALGS,0.9884,94,-1.03
CMND,0.9884,95,7.72
HOVR,0.9883,96,-1.94
NRDS,0.9882,97,0.59
VIRC,0.9882,98,13.39
QETAU,0.988,99,8.56
QMOM,0.988,100,0.06
CHRS,0.9878,101,7.49
BKWO,0.9877,102,-0.36
CEPI,0.9877,103,9.54
AVNW,0.9876,104,3.72
AIRL,0.9873,105,1.34
ICUCW,0.9872,106,5.6
JUNE,0.9872,107,10.84
PCVX,0.9872,108,11.04
XCUR,0.9871,109,3.63
CLDX,0.987,110,6.74
RCT,0.987,111,13.64
FACT,0.9868,112,1.74
HONDW,0.9868,113,10.1
KHC,0.9868,114,0.31
SEZL,0.9865,115,3.03
ESTA,0.9863,116,2.69
JRVR,0.986,117,10.76
AQB,0.9857,118,3.08
LFWD,0.9855,119,12.07
QVAL,0.9855,120,9.5
GAINI,0.9853,121,6.67
BYND,0.9852,122,8.16
AVGB,0.9851,123,2.58
LNT,0.9848,124,10.87
MKTX,0.9848,125,-0.57
WETH,0.9848,126,11.76
VSA,0.9846,127,-2.56
DGICB,0.9845,128,0.96
GEVO,0.9844,129,10.88
FCNCA,0.984,130,-3.79
RVSB,0.9839,131,6.53
SONM,0.9839,132,-1.03
SOTK,0.9835,133,7.44
EYEN,0.9832,134,11.63
SIMAU,0.9832,135,2.19
HLNE,0.9831,136,-1.59
XCNY,0.9831,137,-1.13
BSJW,0.983,138,-2.48
CRWL,0.9829,139,2.74
BGLC,0.9828,140,3.02
ZJYL,0.9826,141,7.37
SPKLU,0.9819,142,-0.05
EFOI,0.9818,143,12.92
FGI,0.9817,144,1.54
BPOP,0.9816,145,6.96
PAX,0.9816,146,6.18
PRCT,0.9816,147,-3.34
QURE,0.9816,148,2.3
CHACU,0.9814,149,0.22
API,0.9808,150,-0.95
HTOO,0.9808,151,0.74
SLAB,0.9806,152,10.05
CAMT,0.9805,153,6.96
ESGE,0.9804,154,0.5
FEBO,0.9802,155,12.7
ASRV,0.9799,156,5.93
IFBD,0.9799,157,13.39
WTF,0.9799,158,7.38
ICHR,0.9798,159,4.33
CALM,0.9794,160,-2.86
EURK,0.9794,161,3.31
NTHI,0.9794,162,-4.61
BMRC,0.9793,163,-2.8
FGIWW,0.9789,164,9.89
NYMTG,0.9789,165,2.44
ZENV,0.9788,166,-3.82
AMDL,0.9786,167,-3.45
RAIL,0.9786,168,7.67
QFIN,0.9784,169,8.79
ALFUU,0.9783,170,5.03
OPRA,0.978,171,-0.77
SLN,0.978,172,-0.95
BATRK,0.9779,173,7.51
PCYO,0.9779,174,7.51
TBBK,0.9778,175,6.9
FEIM,0.9776,176,7.32
ROMA,0.9776,177,-3.71
SPKL,0.9776,178,11.34
FLIC,0.9775,179,3.24
PTNQ,0.9774,180,13.34
CCD,0.9773,181,8.97
MOLN,0.9772,182,-2.01
SPSC,0.9761,183,-3.86
IRMD,0.9759,184,0.42
PRPL,0.9758,185,3.55
DVLT,0.9757,186,-4.81
MBWM,0.9757,187,3.84
NITO,0.9754,188,2.29
PLAY,0.9751,189,3.46
QYLD,0.9751,190,14.2
DMRC,0.975,191,-1.81
CWBC,0.9749,192,6.52
NKSH,0.9748,193,3.66
STGW,0.9748,194,-3.47
TTNP,0.9747,195,-0.18
AVIR,0.9746,196,-0.61
CGBD,0.9745,197,-2.02
EVGOW,0.9745,198,5.91
WEEI,0.9745,199,9.3
CGBSW,0.9742,200,10.99
MULN,0.9742,201,2.93
WEN,0.9742,202,-4.23
FGBI,0.9741,203,-1.45
ARCT,0.9736,204,-1.21
MAPSW,0.9735,205,8.54
RMCO,0.9735,206,5.97
SSRM,0.9735,207,10.49
ARKR,0.9733,208,6.53
LANC,0.9732,209,14.93
INCR,0.973,210,0.47
CENX,0.9727,211,0.53
MYCF,0.9727,212,1.12
XWEL,0.9727,213,8.55
ULY,0.9726,214,-4.7
HYXF,0.9725,215,3.77
OKYO,0.9722,216,7.23
SPRY,0.9722,217,-1.19
GSHRU,0.9721,218,7.55
IGF,0.9719,219,14.28
LUCYW,0.9719,220,9.62
UONEK,0.9719,221,0.68
CMPS,0.9718,222,10.73
MAYAR,0.9717,223,4.63
GLYC,0.9716,224,4.78
TQQY,0.9714,225,12.05
CASK,0.9712,226,1.33
MESA,0.9711,227,11.93
SAGT,0.971,228,9.99
GAIA,0.9709,229,14.08
ASPI,0.9708,230,12.58
KVACU,0.9708,231,12.62
BSIIU,0.9707,232,1.53
NYMTM,0.9707,233,12.25
SMCO,0.9707,234,-0.64
RFAIR,0.9706,235,11.28
KFIIU,0.9703,236,11.87
LCDL,0.9703,237,5.14
SVRA,0.9701,238,10.19
VMD,0.9701,239,7.8
BRKU,0.9698,240,4.96
SBRA,0.9698,241,1.08
IZEA,0.9696,242,-2.87
OXLCO,0.9695,243,-3.84
SWAG,0.9694,244,11.31
ATLCL,0.9693,245,8.33
GLTO,0.9693,246,1.56
OCC,0.9692,247,5.03
AOSL,0.9691,248,-0.42
GASS,0.9691,249,7.5
MREO,0.9688,250,3.2
POAI,0.9687,251,6.93
SNPS,0.9687,252,-0.37
SOUN,0.9687,253,1.9
MYPSW,0.9686,254,3.6
REKR,0.9686,255,14.75
CANC,0.9682,256,9.17
JMSB,0.9681,257,11.28
SDSTW,0.9681,258,13.67
AGNCP,0.9679,259,-4.62
PSCM,0.9679,260,13.64
CTRM,0.9678,261,0.74
AAPB,0.9677,262,10.55
BLBX,0.9676,263,14.28
BSMU,0.9676,264,8.43
POCI,0.9675,265,-4.13
AUBN,0.9674,266,10.03
KYMR,0.9674,267,13.97
SHBI,0.9674,268,5.5
AMRN,0.9672,269,6.78
CNXN,0.9672,270,-0.16
KFFB,0.9672,271,2.24
OBIL,0.9671,272,-1.41
URGN,0.9668,273,2.82
KLTR,0.9666,274,12.24
NBBK,0.9665,275,-2.72
ULBI,0.9665,276,6.8
EMCGR,0.9663,277,5.0
OPT,0.9663,278,-4.94
COPP,0.9662,279,10.12
KLTO,0.9662,280,1.22
AHCO,0.966,281,-2.89
SSP,0.9659,282,-0.2
XRTX,0.9659,283,-3.26
FTLF,0.9656,284,13.7
NCT,0.9655,285,7.49
NVDU,0.9655,286,5.64
ASST,0.9654,287,7.49
CHEK,0.9652,288,7.57
VFS,0.9651,289,-3.99
SMPL,0.965,290,-2.63
ADIL,0.9648,291,1.19
EOSE,0.9648,292,7.86
NIXXW,0.9648,293,5.59
LAYS,0.9646,294,10.34
CANQ,0.9642,295,1.07
PTCT,0.9641,296,7.78
NXTC,0.964,297,8.41
MELI,0.9638,298,-2.14
PBMWW,0.9638,299,2.47
UG,0.9637,300,-1.79
SGMA,0.9635,301,-0.78
VERI,0.9635,302,4.62
TEKY,0.9629,303,9.82
STLD,0.9628,304,-2.92
CCIR,0.9626,305,10.17
GPRF,0.9626,306,3.65
XYLO,0.9625,307,11.02
IXHL,0.9624,308,9.45
GSIB,0.9619,309,-4.29
BCTX,0.9617,310,12.3
GIG,0.9617,311,9.99
NFBK,0.9614,312,13.63
TLSI,0.9614,313,4.47
ATNFW,0.9609,314,14.63
RYAAY,0.9608,315,-3.83
SSBI,0.9608,316,15.0
RFEM,0.9607,317,0.85
AMRX,0.9606,318,-1.11
ELDN,0.9604,319,-0.31
ORIC,0.9603,320,10.99
SPCY,0.9602,321,4.28
DWSN,0.9601,322,14.58
SMMT,0.9601,323,-3.65
TPGXL,0.9601,324,4.06
STKL,0.9599,325,8.1
RRGB,0.9598,326,1.13
NFTY,0.9595,327,9.94
BFRG,0.9592,328,0.99
CCEC,0.9591,329,11.56
CSWCZ,0.9591,330,3.07
QVCGA,0.959,331,7.13
TDACW,0.959,332,1.82
NWS,0.9589,333,7.44
MLACR,0.9585,334,10.93
NIKL,0.9585,335,3.9
QQQA,0.9585,336,4.97
APM,0.9584,337,-4.6
AYTU,0.9584,338,13.11
CTLP,0.9581,339,-4.24
SIRI,0.9581,340,5.64
CGON,0.9579,341,0.05
FBLA,0.9579,342,3.47
SOCL,0.9579,343,8.96
VNDA,0.9579,344,10.54
VOD,0.9579,345,-1.87
ZEO,0.9576,346,13.33
NRSNW,0.9573,347,2.96
CING,0.9572,348,-3.21
INBK,0.9572,349,6.33
PDD,0.9567,350,12.86
CDW,0.9566,351,14.76
IUSV,0.9566,352,13.94
TSLA,0.9566,353,-4.2
KRMD,0.9564,354,3.77
AGH,0.9563,355,1.23
WRND,0.956,356,11.15
LPCN,0.9559,357,6.45
AIFF,0.9556,358,12.5
CORZ,0.9556,359,5.95
KDP,0.9556,360,5.64
FBL,0.9554,361,-3.55
PSNY,0.9554,362,5.78
BRY,0.9551,363,-2.12
OXLCP,0.9551,364,4.85
TWST,0.9551,365,-1.8
BRTR,0.955,366,10.14
FORL,0.955,367,7.62
AEHL,0.9549,368,6.96
GTI,0.9548,369,-2.64
OPCH,0.9548,370,-3.62
BOED,0.9541,371,13.54
